Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Medcords,,"Pune, Maharashtra, India",Wellness,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,,,1550000.0,Seed,2018-01-01
University Living,,"New Delhi, Delhi, India",Education,University Living is an online global student housing marketplace.,,,1550000.0,Seed,2018-01-01
&Me,,"Bangalore, Karnataka, India",Food And Beverage,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,,,1550000.0,Seed,2018-01-01
Enakshi,,"Ahmedabad, Gujarat, India",Fashion,Enakshi is an online apparel brand for women.,,,1550000.0,Seed,2018-01-01
Ultraviolette Automotive,,"Bangalore, Karnataka, India",Automotive,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,,1550000.0,Series A,2018-01-01
Inthree Access,,"Chennai, Tamil Nadu, India",Consulting,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,,,4000000.0,Series A,2018-01-01
Bugworks Research India,,"Bangalore, Karnataka, India",Biotechnology,BUGWORKS is a drug discovery company.,,,9000000.0,Series A,2018-01-01
Guardian.In,,"Mumbai, Maharashtra, India",Health Care,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,,,1550000.0,Seed,2018-01-01
Prestloans,,"New Delhi, Delhi, India",Credit,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,,100000.0,Seed,2018-01-01
Wimoxez,,"Hyderabad, Andhra Pradesh, India",Internet,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",,,20000.0,Seed,2018-01-01
India Accelerator,,"Gurgaon, Haryana, India",Communities,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,,,1550000.0,Angel,2018-01-01
Happyemi,,"Bangalore, Karnataka, India",Consumer,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,,,1000000.0,Seed,2018-01-01
Wishup,,"Azadpur, Delhi, India",Consumer Applications,Premium Personal Assistance service,,,1550000.0,Seed,2018-01-01
Hansel.Io,,"Bangalore, Karnataka, India",Mobile,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",,,4000000.0,Series A,2018-01-01
Propelld,,"Bengaluru, Karnataka, India",Education,Propelld is a student education financing platform.,,,250000.0,Seed,2018-01-01
Pivotroots,,"Mumbai, Maharashtra, India",Advertising,Digital Marketing powered by Data & Technology; fueled by Design thinking,,,1550000.0,Series A,2018-01-01
Ziffyhomes,,"New Delhi, Delhi, India",Marketplace,ZiffyHomes is a technology driven marketplace to find out home on rent.,,,120000.0,Seed,2018-01-01
Carmesi,,"Gurgaon, Haryana, India",Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,,,1550000.0,Seed,2018-01-01
Ockypocky,,"Haryana, Haryana, India",E-Learning,OckyPocky is a interactive and personalised language learning app for preschool kids.,,,1550000.0,Angel,2018-01-01
Racetrack,,"Bangalore, Karnataka, India",Artificial Intelligence,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,,1550000.0,Seed,2018-01-01
Whr,,"Pune, Maharashtra, India",Health Care,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,,143145.0,Seed,2018-01-01
Asteria Aerospace,,"Bangalore, Karnataka, India",Aerospace,Asteria Aerospace is a robotics and artificial intelligence company.,,,1550000.0,Seed,2018-01-01
Faballey,,"Noida, Uttar Pradesh, India",E-Commerce,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",,,1550000.0,Series B,2018-01-01
Tranzmeo,,"Cochin, Kerala, India",Artificial Intelligence,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,,,1550000.0,Pre-Seed,2018-01-01
Sbi Life,,"Mumbai, Maharashtra, India",Insurance,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,,742000000.0,Private Equity,2018-01-01
Studds Accessories,,"Faridabad, Haryana, India",E-Commerce,Studds Accessories is a scooter accessories service provider in India,,,1550000.0,Private Equity,2018-01-01
Design Cafe,,"Bengaluru, Karnataka, India",Home Decor,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,,1550000.0,Series B,2018-01-01
Nopaperforms Solutions Pvt. Ltd.,,"New Delhi, Delhi, India",Edtech,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,,3980000.0,Series B,2018-01-01
Rays Power Infra,,"Jaipur, Rajasthan, India",Energy,Rays Power Infra is a leading integrated Solar Power Company.,,,1550000.0,Venture - Series Unknown,2018-01-01
Authmetrik,,"Gurgaon, Haryana, India",B2B,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",,,10000.0,Grant,2018-01-01
Khidki,,"Bangalore, Karnataka, India",Artificial Intelligence,Vernacular Social Network Focused on Town Level Content and Interactions,,,1550000.0,Seed,2018-01-01
Letstransport,,"Bangalore, Karnataka, India",Logistics,Lets transport is a logistics solution provider.,,,1550000.0,Series B,2018-01-01
Next Digital Solutions,,"Kota, Rajasthan, India",Digital Marketing,Next Digital Solutions is website design & Digital Marketing development company.,,,1550000.0,Angel,2018-01-01
Portea Medical,,"Bangalore, Karnataka, India",Health Care,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,,1550000.0,Debt Financing,2018-01-01
Aavas Financiers,,"Jaipur, Rajasthan, India",Finance,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,,1550000.0,Post-IPO Debt,2018-01-01
Swiggy,,"Bangalore, Karnataka, India",Food Delivery,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,,1000000000.0,Series H,2018-01-01
Milkbasket,,"Haryana, Haryana, India",E-Commerce,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",,,7000000.0,Series A,2018-01-01
Nutrisattva (Proliva),,"Anand, Gujarat, India",Fitness,Nutrisattva is a protein innovation compan,,,1550000.0,Angel,2018-01-01
Toppr,,"Mumbai, Maharashtra, India",Edtech,Toppr.com is an online preparation platform for entrance exams in India.,,,35000000.0,Series C,2018-01-01
Jagaran Microfin,,"Kolkata, West Bengal, India",—,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,,,1550000.0,Debt Financing,2018-01-01
Vivriti Capital,,"Chennai, Tamil Nadu, India",Financial Services,Vivriti Capital is an online platform for institutional debt in India.,,,28500000.0,Venture - Series Unknown,2018-01-01
Be U Salons,,"New Delhi, Delhi, India",Apps,Be U is India's first subscription based Salon Chain.,,,1550000.0,Seed,2018-01-01
Impact Guru,,"Mumbai, Maharashtra, India",Creative Agency,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",,,2000000.0,Series A,2018-01-01
Mobikwik,,"Gurgaon, Haryana, India",Consumer Lending,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,,,1550000.0,Series E,2018-01-01
Stones2Milestones,,"Gurgaon, Haryana, India",E-Learning,Stones2milestones is a Gurgaon Based Learning Company.,,,1550000.0,Seed,2018-01-01
Generico,,"Mumbai, Maharashtra, India",Health Care,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,,,1550000.0,Series A,2018-01-01
Adiuvo Diagnostics,,"Chennai, Tamil Nadu, India",Health Diagnostics,Adiuvo Diagnostics is a medical diagnostic device company based in India.,,,1550000.0,Seed,2018-01-01
Datatrained,,"Bangalore, Karnataka, India",Edtech,"DataTrained is a educational platform, which operates an ed-tech startup on data science",,,1550000.0,Seed,2018-01-01
Oneassist,,"Mumbai, Maharashtra, India",Financial Services,OneAssist is a protection & assistance services platform.,,,2400000.0,Debt Financing,2018-01-01
Satin Creditcare Network Limited (Scnl),,"New Delhi, Delhi, India",Banking,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,,30000000.0,Post-IPO Debt,2018-01-01
Apac Financial Services,,"Mumbai, Maharashtra, India",Finance,APAC Financial Services is a financial services platform.,,,1550000.0,Private Equity,2018-01-01
Moglix,,"Noida, Uttar Pradesh, India",B2B,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",,,23000000.0,Series C,2018-01-01
Sedemac Mechatronics,,"Mumbai, Maharashtra, India",Automotive,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,,,1550000.0,Venture - Series Unknown,2018-01-01
Madguy Labs,,"Hyderabad, Andhra Pradesh, India",E-Learning,MadGuy Labs is a Online Test-prep Platform.,,,150000.0,Venture - Series Unknown,2018-01-01
Dee Dee Labs,,"Pune, Maharashtra, India",Embedded Systems,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,,,1550000.0,Seed,2018-01-01
Fleeca,,"Jaipur, Rajasthan, India",—,FLEECA is a Tyre Care Provider company.,,,1550000.0,Seed,2018-01-01
Shop101,,"Mumbai, Maharashtra, India",Apps,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,,11000000.0,Series B,2018-01-01
Feedmypockets,,"Bangalore City, Karnataka, India",Advertising,On Demand Staffing Platform,,,1550000.0,Seed,2018-01-01
Housejoy,,"Bengaluru, Karnataka, India",Beauty,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,,,3240000.0,Series B,2018-01-01
Ambee,,"Bangalore, Karnataka, India",Health Care,Ambee is an Environment analytics startup.,,,1550000.0,Angel,2018-01-01
Foodbuddy,,"Belgaum, Karnataka, India",Food Delivery,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",,,1550000.0,Seed,2018-01-01
Ninjacart,,"Bengaluru, Karnataka, India",Agtech,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,,1550000.0,Series B,2018-01-01
Olly Smart Credit Card,,"New Delhi, Delhi, India",Credit Cards,Olly is a digital credit card for India's working masses and young people.,,,1550000.0,Seed,2018-01-01
Zestl,,"Pune, Maharashtra, India",Software,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",,,1550000.0,Seed,2018-01-01
Byju’S,,"Bangalore, Karnataka, India",Edtech,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,,,540000000.0,Private Equity,2018-01-01
Wakefit,,"Bangalore, Karnataka, India",Manufacturing,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,,1550000.0,Venture - Series Unknown,2018-01-01
Hero Electric,,"New Delhi, Delhi, India",Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",,,1550000.0,Venture - Series Unknown,2018-01-01
Pentation Analytics,,"Mumbai, Maharashtra, India",Information Services,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,,,1550000.0,Seed,2018-01-01
Perkfinance,,"Bangalore, Karnataka, India",Consumer Lending,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,,900000.0,Seed,2018-01-01
Roposo,,"Gurgaon, Haryana, India",Internet,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,,10000000.0,Series C,2018-01-01
Plum Goodness,,"Thane, Maharashtra, India",Beauty,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,,,1550000.0,Series A,2018-01-01
Drstore,,"Mumbai, Maharashtra, India",Hospital,Drstore is a exclusive e- commerce platform.,,,1550000.0,Seed,2018-01-01
Wow Venue,,"Mumbai, Maharashtra, India",Events,Wow Venue is an online platform.,,,1500000.0,Venture - Series Unknown,2018-01-01
Chizel,,"Pune, Maharashtra, India",3D Printing,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,,,1550000.0,Seed,2018-01-01
Oto Capital,,"Mumbai, Maharashtra, India",Automotive,OTO Capital is a platform that allows you to own a car faster than ever.,,,1550000.0,Seed,2018-01-01
Boodmo,,"Gurgaon, Haryana, India",Automotive,boodmo.com - large online marketplace for auto parts in India.,,,1550000.0,Seed,2018-01-01
Khabri,,"Haryana, Haryana, India",Apps,Khabri is a digital audio platform for content in vernacular.,,,1550000.0,Seed,2018-01-01
Mynewcar.In,,"Gurgaon, Haryana, India",Automotive,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,,,1000000.0,Venture - Series Unknown,2018-01-01
Halaplay Technologies,,"Bangalore, Karnataka, India",Digital Entertainment,A daily fantasy sports platform.,,,5000000.0,Series A,2018-01-01
Planetspark,,"Gurgaon, Haryana, India",E-Learning,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,,1550000.0,Seed,2018-01-01
Wheelsemi,,"Pune, Maharashtra, India",—,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",,,14000000.0,Series B,2018-01-01
Forum For Innovation Incubation Research And Entrepreneurship,,"Margão, Goa, India",Funding Platform,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",,,1550000.0,Grant,2018-01-01
Oyo,,"Gurgaon, Haryana, India",Hospitality,OYO is an Indian hospitality startup that operates a network of budget hotels.,,,100000000.0,Series E,2018-01-01
Quikr,,"Bangalore, Karnataka, India",Classifieds,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,,1550000.0,Debt Financing,2018-01-01
Tabono,,"Gurgaon, Haryana, India",Sports,Tabono is a one stop environment for all your fitness solution.,,,1550000.0,Seed,2018-01-01
Learnapp,,"Noida, Uttar Pradesh, India",Banking,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",,,1550000.0,Seed,2018-01-01
Shopkirana,,"Indore, Madhya Pradesh, India",E-Commerce,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,,2000000.0,Venture - Series Unknown,2018-01-01
Fric Bergen,,"Alwar, Rajasthan, India",—,Fric Bergen is a leader in the specialty food industry.,,,1550000.0,Venture - Series Unknown,2018-01-01
Articbot,,"Kannur, Kerala, India",Artificial Intelligence,Articbot is a conversational AI platform for automated customer support and lead generation,,,1550000.0,Grant,2018-01-01
Buildsupply,,"Gurgaon, Haryana, India",Enterprise Resource Planning (Erp),India’s most advanced ERP system for the real estate,,,1550000.0,Series A,2018-01-01
Fusion Microfinance,,"New Delhi, Delhi, India",Banking,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,,,1550000.0,Series E,2018-01-01
Any Time Doctor,,"Chennai, Tamil Nadu, India",Software,Anytime Doctor is a Software company.,,,1550000.0,Angel,2018-01-01
Go Payments,,"Mumbai, Maharashtra, India",Information Services,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,,,1550000.0,Corporate Round,2018-01-01
Guiddoo World,,"Mumbai, Maharashtra, India",Audio,We build In-Destination Experiences!,,,800000.0,Seed,2018-01-01
Ion Energy,,"Mumbai, Maharashtra, India",Energy,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,,,1041000.0,Venture - Series Unknown,2018-01-01
Unotag,,"Bangalore, Karnataka, India",Artificial Intelligence,SaaS to verify counterfeit,,,100000.0,Pre-Seed,2018-01-01
Civilcops,,"Gurgaon, Haryana, India",Government,Gov-Tech,,,100000.0,Pre-Seed,2018-01-01
Rockmetric,,"Mumbai, Maharashtra, India",Information Technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",,,1550000.0,Grant,2018-01-01
Classworks India,,"Chennai, Tamil Nadu, India",Education,"Saas, Web App, Mobile App, School Education",,,1550000.0,Series A,2018-01-01
Snapmint,,"Mumbai, Maharashtra, India",Consumer Lending,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",,,1550000.0,Seed,2018-01-01
Artbandhu,,"Bangalore, Karnataka, India",Digital Media,Ai platform for Art and Creative Community,,,15000.0,Pre-Seed,2018-01-01
Survaider,,"Bengaluru, Karnataka, India",Business Intelligence,Stethoscope for customer feedback !,,,500000.0,Seed,2018-01-01
Credy,,"Bengaluru, Karnataka, India",Credit,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,,,1400000.0,Seed,2018-01-01
Ichamp,,"Gurgaon, Haryana, India",E-Learning,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,,,5000000.0,Seed,2018-01-01
Qandle,,"Gurgaon, Haryana, India",Software,A cloud-based HR management and employee engagement platform.,,,1200000.0,Seed,2018-01-01
Avishkaar Box,,"Delhi, Delhi, India",Children,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",,,1550000.0,Seed,2018-01-01
Gegadyne Energy,,"Mumbai, Maharashtra, India",Automotive,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,,,1550000.0,Angel,2018-01-01
Hyperxchange,,"Pune, Maharashtra, India",E-Commerce,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,,,1000000.0,Series A,2018-01-01
Deftouch,,"Bangalore, Karnataka, India",—,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,,,1550000.0,Seed,2018-01-01
Doodhwala,,"Bengaluru, Karnataka, India",Food Delivery,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,,,2200000.0,Seed,2018-01-01
Dronahq,,"Mumbai, Maharashtra, India",Mobile,DronaHQ is an enterprise mobile engagement platform.,,,500000.0,Angel,2018-01-01
Fastfox,,"Gurgaon, Haryana, India",Rental,FastFox: Market Network for Home Rentals (India),,,1550000.0,Series A,2018-01-01
Buyforexonline,,"Bangalore, Karnataka, India",Travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,,,2000000.0,Series A,2018-01-01
Colive.In,,"Bangalore, Karnataka, India",Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,,,1800000.0,Seed,2018-01-01
Agricxlab Private Limited,,"Thane, Maharashtra, India",B2B,Online marketplace where farmers and traders can sell their produce to B2B buyers,,,500000.0,Seed,2018-01-01
Corefactors,,"Bangalore, Karnataka, India",—,"Corefactors is a leading campaign management, business communication and analytics company.",,,1550000.0,Seed,2018-01-01
Fincash.Com,,"Mumbai, Maharashtra, India",Wealth Management,A startup in the personal finance space in India .,,,150000.0,Seed,2018-01-01
Pandorum Technologies,,"Bengaluru, Karnataka, India",Biotechnology,Bengaluru based biotech startup.,,,3600000.0,Series A,2018-01-01
Shirsa Labs,,"Mumbai, Maharashtra, India",Education,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,,,500000.0,Seed,2018-01-01
Petsutra,,"Gurgaon, Haryana, India",Veterinary,Gurugram-based Online petcare platform.,,,1550000.0,Seed,2018-01-01
Awaaz De,,"Ahmedabad, Gujarat, India",Internet,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,,,1550000.0,Angel,2018-01-01
Pinkblue,,"Bangalore, Karnataka, India",Health Care,PinkBlue.in - Super-efficient supply-chain for clinical supplies,,,300000.0,Seed,2018-01-01
Eduvanz,,"Mumbai, Maharashtra, India",Finance,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",,,500000.0,Angel,2018-01-01
Rupeek,,"Bangalore, Karnataka, India",Financial Services,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,,,6830000.0,Series A,2018-01-01
Backpacker Panda Holidays Private Limited,,"Pune, Maharashtra, India",Tourism,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,,,1400000.0,Series A,2018-01-01
Shape (School Health And Physical Education),,"Pune, Maharashtra, India",Education,Physical education start up,,,200000.0,Seed,2018-01-01
Placio,,"Noida, Uttar Pradesh, India",Hospitality,Placio is a student housing and a complete broker-free platform.,,,2000000.0,Seed,2018-01-01
Aviom India Housing Finance,,"New Delhi, Delhi, India",Finance,Delhi based housing finance company.,,,1550000.0,Series A,2018-01-01
Genrobotic,,"Trivandrum, Kerala, India",Market Research,A Robotic Company.,,,1550000.0,Seed,2018-01-01
Heyholidays,,"Bangalore, Karnataka, India",Tourism,"HeyHolidays, a global player in online vacation rentals.",,,1000000.0,Seed,2018-01-01
Pratilipi,,"Bengaluru, Karnataka, India",Digital Media,Amazon's Kindle Direct Publishing for Indian Languages,,,4300000.0,Series A,2018-01-01
Sectorqube,,"Ernakulam, Kerala, India",Consumer Electronics,SectorQube develops smart kitchen devices that make food automatically.,,,1550000.0,Seed,2018-01-01
Food Memories,,"Ahmedabad, Gujarat, India",Food And Beverage,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,,,1550000.0,Seed,2018-01-01
Zamroo,,"India, Asia",Internet,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,,,1550000.0,Seed,2018-01-01
Silversparro Technologies Pvt. Ltd,,"Gurgaon, Haryana, India",Analytics,Silversparro is a deep learning technology solution provider.,,,300000.0,Seed,2018-01-01
Creator’S Gurukul,,"Gurgaon, Haryana, India",Facilities Support Services,A coworking space provider.,,,1550000.0,Angel,2018-01-01
Emflux Motors,,"Bengaluru, Karnataka, India",Automotive,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,,,364846.0,Seed,2018-01-01
Tricog Health Services Pvt Ltd,,"Bangalore, Karnataka, India",Health Care,Predictive Healthcare Analytics Company,,,4000000.0,Series A,2018-01-01
Scapic,,"Bangalore, Karnataka, India",Cloud Computing,Virtual/Augmented Reality Start Up .,,,500000.0,Seed,2018-01-01
6Degree,,"Mumbai, Maharashtra, India",Fashion,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,,,400000.0,Seed,2018-01-01
Chrysalis (Ez Vidya),,"Chennai, Tamil Nadu, India",Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,,,1550000.0,Seed,2018-01-01
Ekincare,,"Hyderabad, Andhra Pradesh, India",Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,,,1500000.0,Series A,2018-01-01
Streo,,"Gurgaon, Haryana, India",Music Streaming,"Live stream music from nightclubs, bars & festivals!",,,1550000.0,Seed,2018-01-01
Groww,,"Kormangala, Karnataka, India",Finance,Groww offers a new way of investing money.,,,120000.0,Seed,2018-01-01
Cell Propulsion,,"Bangalore, Karnataka, India",—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,,,1550000.0,Seed,2018-01-01
Chezuba,,"Hyderabad, Andhra Pradesh, India",Internet,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,,,1550000.0,Angel,2018-01-01
Ontrack Technologies Pvt. Ltd,,"Bangalore, Karnataka, India",Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,,,1550000.0,Seed,2018-01-01
Wealthtrust,,"Mumbai, Maharashtra, India",Finance,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,,,500000.0,Seed,2018-01-01
Faclon Labs,,"Mumbai, Maharashtra, India",Cloud Computing,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,,,1550000.0,Seed,2018-01-01
Awign Enterprises,,"Bangalore, Karnataka, India",Business Development,Operations and manpower outsourcing startup,,,1550000.0,Seed,2018-01-01
Collpoll,,"Bangalore, Karnataka, India",Education,World-class Enterprise System for Education.,,,1550000.0,Seed,2018-01-01
Zyla Health,,"New Delhi, Delhi, India",Health Care,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,,,1550000.0,Seed,2018-01-01
Hubhopper,,"Delhi, Delhi, India",Internet,Get your daily dose of interest as summaries from news and magazine stories .,,,500000.0,Series A,2018-01-01
Rubix108 Technologies,,"Pune, Maharashtra, India",Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,,,1000000.0,Seed,2018-01-01
Workflexi,,"Bangalore, Karnataka, India",Human Resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",,,1550000.0,Seed,2018-01-01
Streak,,"Bangalore, Karnataka, India",Financial Services,Algorithmic trading platform.,,,1550000.0,Seed,2018-01-01
Kuants,,"Gurgaon, Haryana, India",Financial Services,Algorithmic trading platform.,,,1550000.0,Seed,2018-01-01
Niyo Solutions,,"Bangalore, Karnataka, India",Finance,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,,,13200000.0,Series A,2018-01-01
Hippo Video,,"Chennai, Tamil Nadu, India",Customer Service,A video recording and sharing software.,,,1550000.0,Seed,2018-01-01
Satvacart,,"Gurgaon, Haryana, India",E-Commerce,Satvacart is a Gurgaon’s largest online supermarket,,,1550000.0,Seed,2018-01-01
Daaki,,"Bangalore, Karnataka, India",Health Care,Sports Nutrition startup,,,1550000.0,Angel,2018-01-01
Simulanis,,"New Delhi, Delhi, India",Training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,,,500000.0,Seed,2018-01-01
My Chiraag Cab,,"Jaipur, Rajasthan, India",Travel,MY CHIRAAG CAB SERVICES PVT LTD,,,1000000.0,Seed,2018-01-01
Wotu,,"Bangalore, Karnataka, India",Food And Beverage,It operates a business-to-business e-commerce portal for food and beverages.,,,1550000.0,Seed,2018-01-01
Flathalt,,"Gurgaon, Haryana, India",—,FInd your Customized Home here.,,,50000.0,Angel,2018-01-01
True Elements,,"Pune, Maharashtra, India",Dietary Supplements,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,,,1550000.0,Seed,2018-01-01
Trendlyne Technologies,,"Bangalore, Karnataka, India",Financial Services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,,,200000.0,Seed,2018-01-01
Planys Technologies,,"Chennai, Tamil Nadu, India",Manufacturing,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,,,1550000.0,Series A,2018-01-01
Healthplix,,"Bangalore, Karnataka, India",Fitness,HealthPlix is a healthtech startup,,,3000000.0,Series A,2018-01-01
Dishq,,"Bengaluru, Karnataka, India",—,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,,,400000.0,Seed,2018-01-01
Entropik Technology,,"Bengaluru, Karnataka, India",Artificial Intelligence,The boundaries between Human and Machines are shrinking fast.,,,1100000.0,Seed,2018-01-01
Myhq,,"Delhi, Delhi, India",Collaboration,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,,,500000.0,Series A,2018-01-01
Trell,,"Bangalore City, Karnataka, India",—,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,,,1250000.0,Seed,2018-01-01
Kidovators (By Gyanlab),,"Bangalore, Karnataka, India",Big Data,Building future human capital through 21st Century Skills programs for K-12,,,180000.0,Seed,2018-01-01
Log 9 Materials,,"Uttar Pradesh, India, Asia",Nanotechnology,Log 9 Materials is a nano-materials manufacturing and RnD startup,,,1550000.0,Seed,2018-01-01
Vtion,,"Gurgaon, Haryana, India",Analytics,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,,,1550000.0,Seed,2018-01-01
Housingman.Com,,"Bengaluru, Karnataka, India",—,"New Apartments, Flats for Sale in Bangalore",,,1550000.0,Seed,2018-01-01
Steradian Semiconductors,,"Bangalore, Karnataka, India",—,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,,,1550000.0,Seed,2018-01-01
Rupeecircle,,"Mumbai, Maharashtra, India",Financial Services,RupeeCircle is a new age finance company.,,,1550000.0,Seed,2018-01-01
Wooden Street,,"Jaipur, Rajasthan, India",E-Commerce,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,,,1000000.0,Series A,2018-01-01
