Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Savvy Co Op,2016.0,Indore,Healthcare,It connects patients with healthcare companies,Jen Horonjeff,Indie Vc,3000000.0,Seed,2020-01-01
Blive,2018.0,Gurugram,Tourism & Ev,"It offers experiential, guided tours on smart electric bikes","Samarth Kholkar, Sandeep Mukherjee",Mumbai Angels Network,3000000.0,Pre series A,2020-01-01
Yellow Messenger,2016.0,Bangalore,Ai,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,2020-01-01
Toch,2016.0,Singapore,Media Tech,AI based Video object detection and Tagging platform,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",Inflection Point Ventures,400000.0,Series A,2020-01-01
Ewar,2016.0,Bangalore,Gaming,E-sports and real-time gaming startup,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",200000.0,Series C,2020-01-01
Setu,2016.0,Kochi,Fintech,"Offers open APIs across four categories: bills, savings, credit, and payments.","Sahil Kini, Nikhil Kumar","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000.0,Series A,2020-01-01
Wellthy Therapeutics,2016.0,Bangalore,Healthtech,It offers a digital therapeutics service,Abhishek Shah,Saama Capital,4000000.0,Pre series A,2020-01-01
Power Gummies,2018.0,Delhi,Health,Offers health supplements related gummies,Divij Bajaj,Venture Catalysts,3000000.0,Pre series A,2020-01-01
Locale Ai,2019.0,Bangalore,Location Analytics,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,"Rishabh Jain, Aditi Sinha",Better Capital,3000000.0,Series A,2020-01-01
Fareye,2016.0,Delhi,Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods","Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell Venture Capital, Eight Roads Venture",24500000.0,Series D,2020-01-01
Rebel Foods,2016.0,Delhi,Food Tech,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,50000000.0,Series A,2020-01-01
Bankbazaar,2008.0,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden Skt Venture Fund",3800000.0,Series D,2020-01-01
Porter,2014.0,Mumbai,Logistics,Logistics and fleet management,"Pranav Goel, Uttam Digga",Lightstone Global Funds,18370000.0,Series D,2020-01-01
Sugarbox,2016.0,Mumbai,Tech,Hyperlocal data distribution platform,Rohit Paranjpe,Zee Entertainment Enterprises Limited,68525000.0,Series C,2020-01-01
Capital Float,2013.0,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",4800000.0,Series F,2020-01-01
Big Basket,2016.0,Bangalore,E Store,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, Vs Sudhakar",Alibaba Holdings,60000000.0,Series C,2020-01-01
Amica,2016.0,Thane,Fintech,Neobanking startup,Jitendra Gupta,"Hummingbird Ventures, Bedrock Capital",2000000.0,Series A,2020-01-01
Vedantu,2016.0,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,12500000.0,Series C,2020-01-01
Fingerlix,2016.0,Pune,Food,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,","Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, Rb Investments.",1834000.0,Series C,2020-01-01
